period,minute,second,play_pattern,team,player,under_pressure,body_part,type,outcome,technique,first_time,follows_dribble,redirect,one_on_one,open_goal,deflected,start_location_x,start_location_y,end_location_x,end_location_y,end_location_z,defenders_between
2,46,53,From Goal Kick,Real Valladolid,Enes Ünal,,Right Foot,Open Play,Off T,Normal,,,,,,,104.6,20.6,120.0,49.8,0.2,3.0
2,48,15,From Free Kick,Barcelona,Ousmane Dembélé,,Right Foot,Open Play,Saved,Normal,,,,,,,108.6,21.9,118.2,35.7,0.2,2.0
2,56,30,From Free Kick,Barcelona,Ousmane Dembélé,,Right Foot,Open Play,Goal,Half Volley,True,,,,,,112.7,48.6,120.0,37.8,0.0,1.0
2,69,25,From Corner,Real Valladolid,Óscar Plano Pedreño,,Right Foot,Open Play,Off T,Normal,,,,,,,95.6,29.3,120.0,47.7,4.1,2.0
2,76,12,From Throw In,Real Valladolid,Sergio Gontán Gallardo,,Head,Open Play,Saved,Normal,,,,,,,112.5,41.2,118.8,41.0,0.2,1.0
2,80,22,From Corner,Real Valladolid,Francisco José Olivas Alba,,Head,Open Play,Saved,Normal,,,,,,,108.8,34.7,119.3,38.2,1.1,3.0
2,88,56,Regular Play,Barcelona,Malcom Filipe Silva de Oliveira,,Left Foot,Open Play,Saved,Normal,,,,,,,106.6,28.0,115.0,37.0,0.2,1.0
2,90,0,Regular Play,Real Valladolid,Rubén Alcaraz Jiménez,,Right Foot,Open Play,Off T,Normal,,,,,,,91.4,52.8,120.0,32.9,3.7,2.0
1,2,2,From Throw In,Huesca,Samuele Longo,,Head,Open Play,Blocked,Normal,,,,,,,113.6,35.2,116.3,37.4,,1.0
1,2,2,From Throw In,Huesca,Juan Camilo Hernández Suárez,,Right Foot,Open Play,Goal,Backheel,,,True,,,,116.9,37.3,120.0,37.7,1.0,1.0
1,15,12,Regular Play,Barcelona,Lionel Andrés Messi Cuccittini,1.0,Right Foot,Open Play,Goal,Normal,,,,,,,110.8,51.3,120.0,36.4,0.2,1.0
1,18,25,Regular Play,Barcelona,Ivan Rakitić,,Right Foot,Open Play,Saved,Normal,,,,,,,89.3,48.2,118.0,37.0,1.1,2.0
1,19,58,Regular Play,Huesca,Juan Camilo Hernández Suárez,,Right Foot,Open Play,Saved,Normal,,,,,,,103.3,58.3,117.5,43.4,0.2,1.0
1,20,48,From Counter,Barcelona,Lionel Andrés Messi Cuccittini,,Head,Open Play,Saved,Normal,,,,,,,111.9,35.5,119.1,38.7,1.9,1.0
1,22,31,Regular Play,Barcelona,Lionel Andrés Messi Cuccittini,,Left Foot,Open Play,Blocked,Normal,,,,,,,94.7,35.6,96.4,35.9,,2.0
1,23,34,From Throw In,Barcelona,Philippe Coutinho Correia,,Right Foot,Open Play,Blocked,Normal,,,,,,,96.3,39.6,99.1,40.2,,2.0
1,27,52,From Throw In,Barcelona,Sergi Roberto Carnicer,,Right Foot,Open Play,Saved,Normal,,,,True,,,117.1,51.5,118.0,48.7,0.5,1.0
1,28,17,From Corner,Barcelona,Ousmane Dembélé,,Left Foot,Open Play,Post,Normal,,,,,,,103.9,51.7,120.0,36.8,2.8,2.0
1,31,31,From Free Kick,Huesca,Gonzalo Julián Melero Manzanares,,Right Foot,Open Play,Saved,Half Volley,,,,,,True,101.9,36.6,119.3,42.2,1.2,2.0
1,34,46,From Free Kick,Barcelona,Lionel Andrés Messi Cuccittini,,Left Foot,Free Kick,Off T,Normal,,,,,,,89.1,46.9,120.0,42.8,3.6,5.0
1,38,1,From Corner,Barcelona,Lionel Andrés Messi Cuccittini,,Left Foot,Open Play,Wayward,Normal,,,,,,,112.0,54.9,118.8,36.1,,1.0
1,38,3,From Corner,Barcelona,Gerard Piqué Bernabéu,,Head,Open Play,Blocked,Normal,,,True,,,,118.5,34.7,119.0,35.8,,2.0
1,38,7,From Corner,Barcelona,Gerard Piqué Bernabéu,,Right Foot,Open Play,Saved,Normal,,,,True,,,116.9,32.5,118.4,35.4,0.7000000000000001,1.0
