distance,angle,under_pressure,follows_dribble,one_on_one,first_time,defenders_between,Corner,Free Kick,Open Play,Penalty,Backheel,Diving Header,Half Volley,Lob,Normal,Overhead Kick,Volley,Head,Other,preferred_foot,not_preferred_foot,goal
21.93171219946131,0.2454192082231454,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
21.213203435596427,0.2463769896529457,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
17.69180601295413,0.2851943209874138,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
17.88854381999832,0.1887223944971257,0,0,0,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
14.7648230602334,0.4353338380602104,1,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
17.007351351694943,0.4149200414877104,0,0,0,1,3,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
12.845621822239671,0.3431409267715393,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
9.144397191723463,0.2154991988265651,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
11.741379816699563,0.4445713925800133,0,0,0,1,3,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
33.63004608976919,0.2022082125880023,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
12.139604606411204,0.5765045002237793,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
15.558920271021382,0.3442295325463045,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
11.313708498984765,0.6209639184219704,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
22.27330240444825,0.3069240959531417,0,0,0,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
14.12409289122668,0.3120107202790099,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
12.083873551142451,0.5811422425639635,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
21.99727255820594,0.2174369575374214,0,0,0,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
22.102036105300343,0.3170982579893356,1,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
13.588230201170424,0.3746847234521267,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
24.26066775667974,0.2408507816337962,0,0,0,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
16.52059320968832,0.3588740336678739,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
14.778700890132392,0.3586834299763832,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
33.364202373202325,0.2136704687226265,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
18.607794065928392,0.290617800409177,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
15.953996364547663,0.4197233523835911,0,0,0,1,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
12.382245353731289,0.3230783972718636,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
21.736835096213984,0.1581134174386788,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
30.064763428305906,0.1549312427791684,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
13.520355024924454,0.2778124683839939,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
20.824024587000466,0.3352208168430703,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
