player,team,distance,angle,under_pressure,follows_dribble,one_on_one,first_time,defenders_between,Corner,Free Kick,Open Play,Penalty,Backheel,Diving Header,Half Volley,Lob,Normal,Overhead Kick,Volley,Head,Other,preferred_foot,not_preferred_foot,goal
Lionel Andrés Messi Cuccittini,Barcelona,15.608331108738057,0.4161405989005314,0,0,0,0,3.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
Ivan Rakitić,Barcelona,31.42499005568657,0.23100108531692587,0,0,0,0,2.0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
Luis Alberto Suárez Díaz,Barcelona,14.724808997063429,0.3737852975220178,0,0,0,1,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
Philippe Coutinho Correia,Barcelona,11.080162453682703,0.4159404002940504,0,0,1,0,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
Philippe Coutinho Correia,Barcelona,17.355690709389823,0.3622198933244768,0,0,0,0,3.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1
Lionel Andrés Messi Cuccittini,Barcelona,15.17959156235767,0.43840384824720446,0,0,0,0,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
Lionel Andrés Messi Cuccittini,Barcelona,9.651942809610922,0.6332875647083102,0,0,0,0,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1
Luis Alberto Suárez Díaz,Barcelona,11.088733020503291,0.43745087577981023,0,0,0,1,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
Philippe Coutinho Correia,Barcelona,21.817882573705457,0.2905853507341425,0,0,0,1,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
Luis Alberto Suárez Díaz,Barcelona,15.315351775261318,0.31962701416512457,0,0,0,1,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
